0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0.8086274	0.68322724	0.9190244	-1.0874313	0.2810457	-1.0274938	1.100614	-0.79593414	-0.78085285	-0.79160637	-0.76266325	0.77773196	-0.93854773	1.0311639	0.21667899
0.6840195	0.5676414	0.70881736	-0.52672243	0.5722227	-0.73140365	0.6284151	-0.36660025	-0.5668041	-0.473841	-0.53226155	0.60183215	-0.6559557	0.5077259	0.6920818
0.5442059	0.20204338	0.2889312	0.2763591	-0.91381514	-1.1644363	0.52686363	-0.40829724	0.98677623	0.97028434	-0.58913493	0.22152814	-0.6119362	0.87278074	0.8127542
0.68974566	0.54884034	-0.25936338	-0.75943315	0.8357086	-0.9868547	0.7785193	-0.9507607	-0.99094284	-1.3074049	-0.7836266	0.52884793	-0.097217724	0.5230523	0.3911346
0.50638074	0.5077233	0.59811044	-0.48638344	0.65697455	-0.8453097	0.5394624	-0.52683294	-0.65007347	-0.96281403	-0.74859065	0.5502946	-0.7318589	0.45102406	0.58557445
0.5624096	-0.06665118	1.1376407	-1.2768829	-0.116978146	-1.2643632	0.057135545	-0.3272694	-0.735769	-0.6489623	-0.54369646	1.2043817	-0.24983256	-0.31550196	0.93680733
0.85421103	0.72472864	0.6489944	-1.0333539	0.81985885	-1.1978666	0.8337625	-0.689205	-0.91468835	-0.6197887	-0.6782494	0.36651888	-0.36086658	0.32883364	0.617103
0.7513399	0.44321653	0.5317143	-0.6291226	1.0053285	-0.6725858	0.3651205	-0.55362344	-0.42232686	-0.57004875	-0.811599	0.57812333	-0.541476	0.21417028	0.750304
0.50657636	0.5825449	0.7665574	-0.43708748	0.873571	-0.36342904	0.69117415	-0.6925341	-0.762203	-0.7489223	-0.76091784	0.51291424	-0.60784787	0.849055	0.50514716
0.35071614	0.49754608	1.1763389	-0.22014093	-0.15136331	-0.43351272	0.29036653	-0.9718596	-1.1727505	-0.6663895	-0.24632744	0.7451212	-0.42012283	-0.110837035	0.27919334
0.9785912	1.0144706	0.7170853	-0.68322986	0.70719475	-0.012138309	0.36028102	-0.7088573	-0.6155613	-0.7098929	-0.72676235	0.7625777	-0.6602086	0.5355869	0.84175533
0.72794694	0.6546288	0.99609333	-0.77701455	0.30218062	-0.36150312	0.79572946	-0.61115324	-0.8142348	-0.9944727	-0.7650102	0.88605237	-0.5379214	0.39673048	0.79482716
0.67009646	0.7963952	0.69822294	-0.66536885	0.80108196	-0.195876	0.813534	-0.5575633	-0.083131604	-0.4914143	-0.7846467	0.3196513	-0.6534653	0.9646453	0.691082
